('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-01 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-02 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-03 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-04 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-05 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-06 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-07 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-08 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-09 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-10 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-11 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-12 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-13 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-14 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-15 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-16 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-17 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-18 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-19 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-20 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-21 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-22 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-23 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-24 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-25 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-26 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-27 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-28 00:00:00', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-29 00:00:01', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-30 00:00:01', '510', 'SAS', '8', '1', '1'),
('1','Jan','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-01-31 00:00:01', '510', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-01 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-02 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-03 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-04 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-05 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-06 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-07 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-08 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-09 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-10 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-11 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-12 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-13 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-14 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-15 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-16 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-17 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-18 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-19 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-20 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-21 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-22 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-23 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-24 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-25 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-26 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-27 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('2','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-02-28 00:00:00', '1267.7', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-01 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-02 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-03 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-04 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-05 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-06 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-07 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-08 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-09 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-10 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-11 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-12 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-13 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-14 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-15 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-16 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-17 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-18 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-19 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-20 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-21 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-22 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-23 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-24 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-25 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-26 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-27 00:00:00', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-28 00:00:01', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-29 00:00:01', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-30 00:00:01', '775.16304347826', 'SAS', '8', '1', '1'),
('3','Feb','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-03-31 00:00:01', '775.16304347826', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-01 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-04 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-03 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-04 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-05 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-06 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-07 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-08 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-09 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-10 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-11 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-12 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-13 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-14 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-15 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-16 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-17 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-18 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-19 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-20 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-21 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-22 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-23 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-24 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-25 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-26 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-27 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-28 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-29 00:00:00', '920', 'SAS', '8', '1', '1'),
('4','Aprill','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '430', '1', '127', '86', '3', '12', '228', '1', '14', '2019-04-30 00:00:00', '920', 'SAS', '8', '1', '1')
