('1','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-01-01 00:00:00', '379', 'SAS', '8', '1', '1'),
('2','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-04-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('3','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-05-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('4','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('5','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-02 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('6','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-03 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('7','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-04 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('8','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-05 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('9','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-06 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('10','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-07 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('11','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-07-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('12','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-08-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('13','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-01 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('14','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-02 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('15','00067','00097','Ёксплуатируемый парк в грузовом движении. Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-03 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('1','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-01-01 00:00:00', '122', 'SAS', '8', '1', '1'),
('2','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-04-01 00:00:00', '120.340659340659', 'SAS', '8', '1', '1'),
('3','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-05-01 00:00:00', '119.396694214876', 'SAS', '8', '1', '1'),
('4','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-01 00:00:00', '119.631578947368', 'SAS', '8', '1', '1'),
('5','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-02 00:00:00', '119.54248366013', 'SAS', '8', '1', '1'),
('6','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-03 00:00:00', '119.454545454545', 'SAS', '8', '1', '1'),
('7','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-04 00:00:00', '119.509677419354', 'SAS', '8', '1', '1'),
('8','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-05 00:00:00', '119.551282051282', 'SAS', '8', '1', '1'),
('9','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-06 00:00:00', '119.605095541401', 'SAS', '8', '1', '1'),
('10','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-07 00:00:00', '119.56329113924', 'SAS', '8', '1', '1'),
('11','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-07-01 00:00:00', '120.296703296703', 'SAS', '8', '1', '1'),
('12','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-08-01 00:00:00', '122.056338028169', 'SAS', '8', '1', '1'),
('13','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-01 00:00:00', '121.971311475409', 'SAS', '8', '1', '1'),
('14','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-02 00:00:00', '121.94693877551', 'SAS', '8', '1', '1'),
('15','00067','00069','Ќерабочий парк.Ёлектровозы', 'т€г.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-03 00:00:00', '121.886178861788', 'SAS', '8', '1', '1')
